item_id,name,title,category,unit,value_kind,status,source_ref
373,fn373,col373,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
374,fn374,col374,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
375,fn375,col375,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
376,fn376,col376,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
377,fn377,col377,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
378,fn378,col378,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
379,fn379,col379,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
380,fn380,col380,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
381,fn381,col381,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
382,fn382,col382,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
383,fn383,col383,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
384,fn384,col384,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
385,fn385,col385,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
386,fn386,col386,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
387,fn387,col387,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
388,fn388,col388,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
389,fn389,col389,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
390,fn390,col390,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
391,fn391,col391,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
392,fn392,col392,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
393,fn393,col393,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
394,fn394,col394,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
395,fn395,col395,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
396,fn396,col396,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
397,fn397,col397,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
398,fn398,col398,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
399,fn399,col399,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
400,fn400,col400,financial_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
401,fn401,专项储备(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
